"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2026-03-19T14:27:53.091Z,Playlist,"Not metal stuff ","Weather Report - Birdland",false,"United Kingdom",256003341,170409966,"library / playlists / playlist_detail",2026-03-19T14:27:53.091Z,N/A,N/A,2026-03-19T14:27:53.414Z,2026-03-19T14:27:53.091Z,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A
2026-03-19T14:23:56.333Z,Playlist,"Not metal stuff ","Kanye West - Touch the Sky (feat. Lupe Fiasco)",false,"United Kingdom",256003341,1452877936,"library / playlists / playlist_detail",2026-03-19T14:23:56.333Z,NATURAL_END_OF_TRACK,2026-03-19T14:27:53.190Z,2026-03-19T14:27:53.228Z,2026-03-19T14:23:56.333Z,232408,236857,232408,AUDIO,0,1,0,236857
2026-03-19T14:23:55.184Z,Playlist,"Not metal stuff ","Freddie Gibbs & Madlib - Gat Damn",false,"United Kingdom",256003341,1464243979,"library / playlists / playlist_detail",2026-03-19T14:23:55.184Z,TRACK_SKIPPED_FORWARDS,2026-03-19T14:23:55.997Z,2026-03-19T14:23:56.233Z,2026-03-19T14:23:55.184Z,590,813,170232,AUDIO,0,1,1,813
2026-03-19T14:23:54.043Z,Playlist,"Not metal stuff ","Freddie Gibbs & The Alchemist - Lavish Habits",false,"United Kingdom",256003341,1824019995,"library / playlists / playlist_detail",2026-03-19T14:23:54.043Z,TRACK_SKIPPED_FORWARDS,2026-03-19T14:23:54.958Z,2026-03-19T14:23:54.073Z,2026-03-19T14:23:54.065Z,690,915,177480,AUDIO,0,2,1,915
2026-03-19T14:23:52.632Z,Playlist,"Not metal stuff ","Kanye West - All Falls Down (feat. Syleena Johnson)",false,"United Kingdom",256003341,1412873019,"library / playlists / playlist_detail",2026-03-19T14:23:52.632Z,TRACK_SKIPPED_FORWARDS,2026-03-19T14:23:53.855Z,2026-03-19T14:23:54.073Z,2026-03-19T14:23:52.632Z,1003,1223,220998,AUDIO,0,1,1,1223
2026-03-11T10:50:38.328Z,Playlist,"Not metal stuff ","JPEGMAFIA - SIN MIEDO",false,"United Kingdom",256003341,1760036441,"library / playlists / playlist_detail",2026-03-11T10:50:38.328Z,TRACK_SKIPPED_FORWARDS,2026-03-19T14:23:52.378Z,2026-03-19T14:23:51.214Z,2026-03-19T14:23:51.207Z,166960,166947,166955,AUDIO,0,7,2,596502
2026-03-19T14:23:49.602Z,Playlist,"Not metal stuff ","Travis Scott & Don Toliver - CHAMPAIN & VACAY",false,"United Kingdom",256003341,1826343591,"library / playlists / playlist_detail",2026-03-19T14:23:49.602Z,TRACK_SKIPPED_FORWARDS,2026-03-19T14:23:50.987Z,2026-03-19T14:23:49.617Z,2026-03-19T14:23:49.614Z,1161,1385,184789,AUDIO,0,2,1,1385
2026-03-19T14:23:43.645Z,Playlist,"Not metal stuff ","Freddie Gibbs & Madlib - Education (feat. Yasiin Bey & Black Thought)",false,"United Kingdom",256003341,1464244155,"library / playlists / playlist_detail",2026-03-19T14:23:43.645Z,TRACK_SKIPPED_FORWARDS,2026-03-19T14:23:49.336Z,2026-03-19T14:23:44.602Z,2026-03-19T14:23:44.180Z,5715,5691,262277,AUDIO,0,2,1,5691
2026-03-14T23:32:48.174Z,Playlist,"Not metal stuff ","Tyler, The Creator - Don't Tap That Glass / Tweakin'",false,"United Kingdom",256003341,1827715798,"library / playlists / playlist_detail",2026-03-14T23:32:48.174Z,NATURAL_END_OF_TRACK,2026-03-19T14:23:44.322Z,2026-03-19T14:20:07.660Z,2026-03-19T14:20:07.384Z,222138,222084,222138,AUDIO,0,3,1,242579
2026-03-19T12:45:46.842Z,Playlist,"Not metal stuff ","Wu-Tang Clan - Protect Ya Neck",false,"United Kingdom",256003341,269844634,"library / playlists / playlist_detail",2026-03-19T12:45:46.842Z,NATURAL_END_OF_TRACK,2026-03-19T14:20:07.408Z,2026-03-19T14:18:24.989Z,2026-03-19T14:18:24.981Z,291267,143297,291267,AUDIO,0,2,0,275466
2026-03-19T12:42:02.863Z,Playlist,"Not metal stuff ","Freddie Gibbs, The Alchemist & Anderson .Paak - Ensalada",false,"United Kingdom",256003341,1824019699,"library / playlists / playlist_detail",2026-03-19T12:42:02.863Z,NATURAL_END_OF_TRACK,2026-03-19T12:45:49.389Z,2026-03-19T12:42:06.201Z,2026-03-19T12:42:05.895Z,226546,226526,226546,AUDIO,0,2,0,226526
2026-03-19T12:37:24.416Z,Playlist,"Not metal stuff ","Wu-Tang Clan - Method Man",false,"United Kingdom",256003341,269843930,"library / playlists / playlist_detail",2026-03-19T12:37:24.416Z,SCRUB_BEGIN,2026-03-19T12:37:24.857Z,2026-03-19T12:42:06.027Z,2026-03-19T12:37:24.416Z,38737,441,350687,AUDIO,38737,1,0,441
2026-03-19T12:37:16.273Z,Playlist,"Not metal stuff ","Jamiroquai - Virtual Insanity (Remastered)",false,"United Kingdom",256003341,603752292,"library / playlists / playlist_detail",2026-03-19T12:37:16.273Z,TRACK_SKIPPED_FORWARDS,2026-03-19T12:37:17.718Z,2026-03-19T12:37:16.364Z,2026-03-19T12:37:16.340Z,1186,1445,340954,AUDIO,0,2,1,1445
2026-03-16T15:55:51.772Z,Playlist,"Not metal stuff ","Jamiroquai - Stillness In Time",false,"United Kingdom",256003341,600897214,"library / playlists / playlist_detail",2026-03-16T15:55:51.772Z,TRACK_SKIPPED_FORWARDS,2026-03-19T12:37:16.018Z,2026-03-19T12:37:16.364Z,2026-03-19T12:36:59.250Z,256640,256627,256640,AUDIO,0,3,2,281293
2026-03-16T15:55:41.253Z,Playlist,"Not metal stuff ","Travis Scott - HYAENA",false,"United Kingdom",256003341,1699712637,"library / playlists / playlist_detail",2026-03-16T15:55:41.253Z,NATURAL_END_OF_TRACK,2026-03-19T12:36:28.204Z,2026-03-19T12:32:49.539Z,2026-03-19T12:32:49.149Z,222129,222058,222129,AUDIO,0,3,1,222800
2026-03-19T12:28:12.832Z,Playlist,"Not metal stuff ","Bruno Mars, Anderson .Paak & Silk Sonic - Love's Train",false,"United Kingdom",256003341,1611638587,"library / playlists / playlist_detail",2026-03-19T12:28:12.832Z,NATURAL_END_OF_TRACK,2026-03-19T12:32:49.191Z,2026-03-19T12:28:22.208Z,2026-03-19T12:28:21.887Z,306285,276359,306285,AUDIO,30840,2,0,276359
2026-03-19T12:23:19.820Z,Playlist,"Not metal stuff ","Jamiroquai - The Kids",false,"United Kingdom",256003341,600897218,"library / playlists / playlist_detail",2026-03-19T12:23:19.820Z,NATURAL_END_OF_TRACK,2026-03-19T12:28:21.979Z,2026-03-19T12:23:27.541Z,2026-03-19T12:23:27.533Z,309800,302159,309800,AUDIO,0,2,0,302159
2026-03-19T12:22:26.299Z,Playlist,"Not metal stuff ","Tyler, The Creator - Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",false,"United Kingdom",256003341,1776500460,"library / playlists / playlist_detail",2026-03-19T12:22:26.299Z,TRACK_SKIPPED_FORWARDS,2026-03-19T12:23:27.326Z,2026-03-19T12:22:28.414Z,2026-03-19T12:22:27.986Z,61056,61027,255915,AUDIO,0,2,1,61027
