Country,Content,"Play Duration Milliseconds","First Played","Last Played","Last Received","Source Type",Rankings
"United Kingdom","Dream Theater",299066005,1742398298010,1773847444650,1773847444697,"IPHONE, WINDOWS",1
"United Kingdom",Mastodon,224291159,1742404961522,1773513858870,1773513835356,"IPHONE, WINDOWS",2
"United Kingdom",Opeth,171936142,1744059561723,1773849887011,1773849887058,"IPHONE, WINDOWS",3
"United Kingdom","Lamb of God",152014285,1742917079844,1773850085673,1773850085718,"IPHONE, WINDOWS",4
"United Kingdom","Arch Enemy",97120890,1759770094533,1773855540820,1773855540870,IPHONE,5
"United Kingdom",Trivium,87266861,1742857177788,1773845825238,1773845825274,"IPHONE, WINDOWS",6
"United Kingdom",Karnivool,85051251,1742423946124,1773590904947,1773590904986,"IPHONE, WINDOWS",7
"United Kingdom","Tyler, The Creator",83997872,1742512566653,1773930224322,1773930224385,"IPHONE, WINDOWS",8
"United Kingdom","Travis Scott",78625395,1742375368635,1773923788204,1773923788246,"IPHONE, WINDOWS",9
"United Kingdom",JPEGMAFIA,69139128,1742683633804,1773852240298,1773852240356,"IPHONE, WINDOWS",10
"United Kingdom","Parkway Drive",67730636,1742914092740,1773847184121,1773847184169,"IPHONE, WINDOWS",11
"United Kingdom","Kanye West",52729194,1742920958013,1773930473190,1773930473228,"IPHONE, WINDOWS",12
"United Kingdom","Fear Factory",51355560,1742814790396,1773089511274,1773089511314,"IPHONE, WINDOWS",13
"United Kingdom",Meshuggah,49185299,1743162476610,1772556782883,1772556782935,"IPHONE, WINDOWS",14
"United Kingdom",GOJIRA,48000409,1742397687081,1773514054036,1773514054091,"IPHONE, WINDOWS",15
"United Kingdom","Avenged Sevenfold",45751675,1742486972964,1773398707807,1773398707853,"IPHONE, WINDOWS",16
"United Kingdom","Bleed From Within",44648031,1742400200667,1773741506529,1773741506568,"IPHONE, WINDOWS",17
"United Kingdom","Kendrick Lamar",44220473,1742548625427,1773846342953,1773846343005,IPHONE,18
"United Kingdom","Killswitch Engage",43480307,1743154199077,1773658827135,1773658813348,"IPHONE, WINDOWS",19
"United Kingdom",Jamiroquai,41748448,1743284807481,1773923301979,1773923302025,"IPHONE, WINDOWS",20
"United Kingdom",Metallica,40762301,1742411016794,1773662765576,1773658900592,"IPHONE, WINDOWS",21
"United Kingdom",Leprous,39790129,1755616597321,1773701328344,1773701098385,IPHONE,22
"United Kingdom",Death,37932367,1743532340270,1772720565571,1772718757537,"IPHONE, WINDOWS",23
"United Kingdom","Bruno Mars",36035126,1742511436836,1773923569191,1773923569354,"IPHONE, WINDOWS",24
"United Kingdom","Of Mice & Men",31469764,1744116795434,1773849260853,1773849260892,IPHONE,25
"United Kingdom","Foo Fighters",30342828,1743458343795,1773412066540,1773412066579,"IPHONE, WINDOWS",26
"United Kingdom","Machine Head",29808870,1742487332649,1773063525029,1773061394902,"IPHONE, WINDOWS",27
"United Kingdom","Black Label Society",29038866,1742489646977,1772558940080,1772558483399,IPHONE,28
"United Kingdom","The Strokes",28002668,1742859765504,1772786938317,1772786938359,"IPHONE, WINDOWS",29
"United Kingdom",Decapitated,27968461,1755348133587,1773418417046,1773418326313,"IPHONE, WINDOWS",30
"United Kingdom","Freddie Gibbs",25362322,1769359135295,1773924349389,1773924349443,IPHONE,31
"United Kingdom",Turnstile,24174762,1749978219598,1773403268421,1773403268475,IPHONE,32
"United Kingdom",Haken,23929881,1759313676355,1773701085923,1773701085986,IPHONE,33
"United Kingdom",Megadeth,23162308,1742399615591,1773067619906,1773067620172,IPHONE,34
