"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
681,1,2026-03-19T14:27:53.091Z,2026-03-19T14:27:53.414Z,Playlist,"Not metal stuff ",N/A,false,"United Kingdom",256003341,N/A
71,1,2026-03-18T17:30:11.669Z,2026-03-18T17:30:12.011Z,Album,"Arch Enemy - Will To Power",N/A,false,"United Kingdom",1252750166,N/A
433,1,2026-03-18T16:42:46.398Z,2026-03-18T16:42:47.323Z,Playlist,"Replay 2026",N/A,false,"United Kingdom",256003345,N/A
9,1,2026-03-16T22:37:24.321Z,2026-03-16T22:37:24.576Z,Album,"Haken - Fauna",N/A,false,"United Kingdom",1650860109,N/A
13,1,2026-03-16T17:02:00.455Z,2026-03-16T17:02:00.600Z,Album,"Arch Enemy - Rise of the Tyrant",N/A,false,"United Kingdom",1045072875,N/A
32,1,2026-03-16T14:51:19.102Z,2026-03-16T14:51:19.135Z,Album,"Denzel Curry - TA13OO",N/A,false,"United Kingdom",1408388537,N/A
776,1,2026-03-16T14:41:17.680Z,2026-03-16T14:41:18.173Z,Playlist,"Heavy Rotation",N/A,false,"United Kingdom",256003337,N/A
1,1,2026-03-16T14:37:44.712Z,2026-03-16T14:37:45.691Z,Playlist,"Guardians of the Galaxy: The Complete Mixtape",N/A,false,"United Kingdom",256000525,N/A
2,1,2026-03-16T14:14:49.323Z,2026-03-16T14:14:49.581Z,Album,"The Prodigy - No Tourists",N/A,false,"United Kingdom",1440989122,N/A
9,1,2026-03-16T12:52:02.204Z,2026-03-16T12:52:02.290Z,Album,"Arch Enemy - Anthems of Rebellion",N/A,false,"United Kingdom",1045081832,N/A
4304,1,2026-03-16T12:11:30.347Z,2026-03-16T12:11:30.354Z,Playlist,Aaaaaaaaaah,N/A,false,"United Kingdom",256002817,N/A
45,1,2026-03-16T10:40:24.667Z,2026-03-16T10:40:25.261Z,Album,"Lamb of God - Into Oblivion",N/A,false,"United Kingdom",1868804163,N/A
2,1,2026-03-15T23:28:30.500Z,2026-03-15T23:28:31.045Z,Album,"JPEGMAFIA - All My Heroes Are Cornballs",N/A,false,"United Kingdom",1478336484,N/A
1,1,2026-03-15T23:25:38.542Z,2026-03-15T23:25:38.814Z,Album,"JPEGMAFIA - LP!",N/A,false,"United Kingdom",1590920785,N/A
2,1,2026-03-15T23:25:11.614Z,2026-03-15T23:25:11.875Z,Album,"michael - Exmilitary",N/A,false,"United Kingdom",1874788853,N/A
112,1,2026-03-15T17:13:31.354Z,2026-03-15T17:13:31.368Z,Album,"Arch Enemy - The Root of All Evil",N/A,false,"United Kingdom",1045116821,N/A
1,1,2026-03-15T14:28:21.749Z,2026-03-15T14:28:22.431Z,Album,"MC Virgins - After the Party",N/A,false,"United Kingdom",1803690162,N/A
2,1,2026-03-14T23:27:03.781Z,2026-03-14T23:27:04.017Z,Album,"Trivium - Shogun (Special Edition)",N/A,false,"United Kingdom",291308890,N/A
1,1,2026-03-13T21:40:35.588Z,2026-03-13T21:40:35.780Z,Album,"The Amazons - Future Dust",N/A,false,"United Kingdom",1457194872,N/A
2,1,2026-03-13T17:16:40.783Z,2026-03-13T17:16:43.932Z,Album,"Lamb of God - Wrath (Special Edition)",N/A,false,"United Kingdom",1621636115,N/A
1,1,2026-03-13T17:13:31.442Z,2026-03-13T17:13:31.448Z,Album,"Lamb of God - VII: Sturm und Drang",N/A,false,"United Kingdom",1472545503,N/A
