Song,Artist,Album
Blitzkrieg Bop,Ramones,Ramones (40th Anniversary Deluxe Edition)
Look Like You Know,Royal Blood,How Did We Get So Dark?
"Girl, You Have No Faith In Medicine",The White Stripes,Elephant
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction
Run,Foo Fighters,Concrete and Gold
Bob Quit His Job,Taylor Hawkins,Kota - EP
Rope,Foo Fighters,Wasting Light
Something From Nothing,Foo Fighters,There Is Nothing Left to Lose
The Sky Is a Neighborhood,Foo Fighters,Concrete and Gold
La Dee Da,Foo Fighters,Concrete and Gold
Welcome to the Jungle,Guns N' Roses,Appetite For Destruction
She's Creeping,Royal Blood,How Did We Get So Dark?
You're Crazy,Guns N' Roses,B-Sides N' EPs
O-o-h Child (Remastered),Five Stairsteps,Stairsteps (Bonus Track Version)
Seven Nation Army,The White Stripes,Elephant
Man's Not Hot,Big Shaq,Man's Not Hot - Single
I Only Lie When I Love You,Royal Blood,How Did We Get So Dark?
Where Are You Now?,Royal Blood,How Did We Get So Dark?
Don't Tell,Royal Blood,How Did We Get So Dark?
You Can Be So Cruel,Royal Blood,Royal Blood
It's True That We Love One Another,The White Stripes,Elephant
Johnny B. Goode,Chuck Berry,Berry Is On Top
"Baby, I Love You",Ramones,Hey Ho Let's Go: Greatest Hits
Feet Don't Fail Me,Queens of the Stone Age,Villains
Rope (Deadmau5 Mix),Foo Fighters,Wasting Light (Bonus Tracks) - Single
Atomic,Blondie,Eat To the Beat
How Did We Get So Dark?,Royal Blood,How Did We Get So Dark?
Country Song,Jake Bugg,Jake Bugg
Another One Bites the Dust,Queen,"Greatest Hits I, II & III: The Platinum Collection"
Ever Fallen in Love (with Someone You Shouldn't've)?,Buzzcocks,Singles Going Steady (Deluxe Version)
Spirit in the Sky,The Anonymous,Spirit of '76
Soldier,Foo Fighters,"01070725 (B-Sides from ""Echoes, Silence, Patience & Grace"") - EP"
Cut Me Some Slack,"Paul McCartney, Dave Grohl, Krist Novoselic & Pat Smear",Sound City - Real to Reel
T-Shirt,Foo Fighters,Concrete and Gold
Centuries of Sin (feat. Cronos),Probot,Probot
Southern Belles,Taylor Hawkins,Kota - EP
Going Underground,The Jam,Setting Sons (Deluxe Edition)
No One Knows,Queens of the Stone Age,Songs for the Deaf
Domesticated Animals,Queens of the Stone Age,Villains
I Wanna Be Sedated,Ramones,Road to Ruin (Deluxe Edition)
Anything Goes,Guns N' Roses,Appetite For Destruction
All Star,Smash Mouth,Astro Lounge
Sticks & Stones,Chris Shiflett,West Coast Town
Dear Rosemary,Foo Fighters,Wasting Light
These Days,Foo Fighters,Wasting Light
Back In Black,AC/DC,Back In Black
The Chain,Fleetwood Mac,Rumours (Super Deluxe Edition)
Now I Wanna Sniff Some Glue,Ramones,Ramones
Little Acorns,The White Stripes,Elephant
There's No Home for You Here,The White Stripes,Elephant
The Hardest Button to Button,The White Stripes,Elephant
For the Love of God,Steve Vai,Passion and Warfare
Figure It Out,Royal Blood,Royal Blood (10th Anniversary Edition)
Black Math,The White Stripes,Elephant
The Man With the Dogs,Dead Kennedys,Give Me Convenience or Give Me Death
Insight,Dead Kennedys,Give Me Convenience or Give Me Death
